Temps(s);x(m);y(m)
0;1,607483329;0,04723102
0,04;1,535822471;0,241041067
0,08;1,472304893;0,407163964
0,12;1,405530003;0,558628958
0,16;1,330611834;0,697064706
0,2;1,260579632;0,802927336
0,24;1,19054743;0,900646688
0,28;1,117257917;0,980450825
0,32;1,048854371;1,032567812
0,36;0,97067889;1,068398241
0,4;0,907161311;1,089570767
0,44;0,832243142;1,087942111
0,48;0,763839596;1,066769585
0,52;0,697064706;1,030939156
0,56;0,62866116;0,973936201
0,6;0,56188627;0,902275344
0,64;0,493482724;0,812699272
0,68;0,433222457;0,703579329
0,72;0,364818912;0,579801484
0,76;0,302929989;0,442994393
0,8;0,244298378;0,28664343
0,84;0,185666767;0,122149189
